Tweet	sentiment	musician
"
Anytime someone asks how I stay alone almost always, I don’t really think it’s such a big deal. And then one day I speak to some person and I feel like the loneliest girl in life. And I realise how much I’ve missed, with my friends, my family, my relationships"	Normal	tems
"
The Word of God is the guide."	Normal	tems
People are so quick to tell everyone else what they need.	Normal	tems
"
It’s never too late to be Great."	Normal	tems
"
With no food in my stomach ??"	Normal	tems
"
The end of a matter is better than its beginning, and patience is better than pride."	Normal	tems
"
Wisdom is a shelter as money is a shelter, but the advantage of knowledge is this: Wisdom preserves those who have it."	Normal	tems
"
Thank God for my life, I have nothing to worry about. Fear is an illusion."	Normal	tems
"
I’m just waiting to be 30 on paper but I’ve been there for a while now."	Normal	tems
"

I promise you even if I went to hide under a rock, trouble must find a way to crawl under there to be looking at me"	Normal	tems
"
They say they care so much but do so little and expect so much."	Normal	tems
"
I’m already flying, don’t watch me, join me."	Normal	tems
"

I danced so carelessly for the first time in my life yesterday.
Fortunately the witnesses at scene decided not to press charges ??"	Normal	tems
"
Being greatly misunderstood is part of the price you pay, and there not much you can do about it except be yourself, do your thing."	Normal	tems
"
Only me baybee???"	Normal	tems
"
Only me baybee???"	Normal	tems
"
Thank you Promiseland! ????"	Normal	tems
"
Don’t get it twisted that’s all??????"	Normal	tems
"Actually it’s about Jesus Christ teaching me how to walk on water, to trust Him and not in human understanding. 
He changed my life. And if you seek Him He will fill you up too. 
He is the Lord of Lords. 
The word of God, made flesh 
I am His sheep. He is my Shepherd. 
And I have been forever transformed. 
I am His forever. THATS JUST ME DOE"	Normal	tems
"
Nothing like learning to trust God’s way."	Normal	tems
"
Moments like these??????"	Normal	tems
"
Feeling like a Damond!!??
Love you so much Sydney! ??????????"	Normal	tems
"
Three years ago today, I released my first EP. One that truly transformed my life. I’m so happy to launch ‘For Broken Ears’ Vinyl bundle on http://leadingvibe.com. Thank you for all your enormous love??"	Normal	tems
"
Till next time my amazing SA!! ??????????"	Normal	tems
"
Y’all are dumb I swear"	Offensive	tems
"
Lmao bruh what the hell is going on in this place"	Offensive	tems
"
RIP Mohbad, you WILL get the justice you deserve ??"	Normal	tems
"
In conclusion, you people are all mad!!!"	Offensive	tems
"
Month of victory ??? #CoverGirl 
Thank you 
@ELLEUK
??"	Normal	tems
"
FAKE NEWS!!!! Y’all are smelling fr, agenda must agend Eyama!!"	Offensive	tems
"
So Grateful to the Lord for my life and for all my loved ones and my amazing rebel gang. 
Thank youuu????????????????????????????????"	Normal	tems
"
Thank you for being an amazing Brother and friend, it’s for lifeee??????"	Normal	tems
"
Before September??"	Normal	tems
"
Where’s the album?!????"	Normal	tems
Thank you for being an amazing Brother and friend, it’s for lifeee??????	Normal	tems
"
Thank you for being an amazing Brother and friend, it’s for lifeee??????"	Normal	tems
"
Before September??"	Normal	tems
"

Oops.??"	Indeterminate	tems
"
Happy Valentine’s Day baby!?????????"	Normal	tems
"
To everyone one that has been supporting me still. Through everything, please know I don’t take it for granted. 
I truly appreciate it, the love has been too too much. 
Thank you so much Rebel Gang.
We up very soon???"	Normal	tems
"
What God has done for me, I can’t even speak. All the glory really belongs to Him."	Normal	tems
"
You know it’s a wrap when I start laughing ??????????"	Normal	tems
"
New year, real me?"	Normal	tems
"
How you know you tha ?? is when you attract the all the ??’s.
It don’t take too long for a GOAT to recognise another GOAT. 
But the sheep, they always blind af."	Normal	tems
"
Come again next year, it’s an annual P!??"	Normal	tems
"
Thank you so much, I can’t wait!! 
See yah tomorrowww??????"	Normal	tems
"
This is the Sale of the Year!! 
Join me Tomorrow!
I am giving up my ENTIRE WARDROBE collection. My boots, my bags my glasses, caps going for ridiculous prices! Also there will be a raffle pot of 1 million Naira at the venue.
Register Neow!???????"	Normal	tems
"
Presently, the house has 15 children between ages 1 to 16, with almost all of them in either primary or secondary school.

And I want to be part of advancing the standard of living for these children."	Normal	tems
"
For these two organisations I am putting on something I feel so excited about."	Normal	tems
"

Another organisation that this event is raising funds for is the Margaret Garba Ohiani Orphanage/Less Privileged Home, is located in Lokoja Kogi State. The Orphanage was established in 2004 by Late Mrs Margaret Garba Ohiani, who died some few years ago."	Normal	tems
"
My God!! this one is too much??"	Normal	tems
"
South Africa???? I love you all so much!
Can’t wait to come back again and see ALL of you ??"	Normal	tems
"
South Africa, see you soon??????"	Normal	tems
"
Egbon Adugbo????"	Offensive	tems
"
Next Year! ????"	Normal	tems
"
I wonder if they noticed yet ??"	Normal	tems
"
Abuja this December!???"	Normal	tems
"Being productive is not about activity but intelligence in your labour. 
It is not by appearance but diligence and patience that everything will make sense only after it has been manifested."	Normal	tems
"
I WILL DRINK YOUR TEARS."	Offensive	tems
"
Love always ??"	Normal	tems
"
Natural-born killer??"	Offensive	tems
"
It doesn’t matter what you do. 
You can’t have it."	Indeterminate	tems
"
Global citizen in Ghana!!!
Seee you soon??????"	Normal	tems
"
Check yah dmss Sisss????"	Normal	tems
"
Who is she??!??"	Indeterminate	tems
"
New Wiz??????"	Normal	tems
"
Hmmm Is it time? It’s not yet time."	Normal	tems
I AM FIVE (5) foot NINE (9) inches.	Normal	tems
"Thank you so much 
@bmi
????"	Normal	tems
I love you guys I swear??????	Normal	tems
Hm! How you take know?	Normal	tems
E DEY RUSHHH??	Normal	tems
"WOW Who knew when I wrote this song I was making history. Now it is timeless.
God’s doing!! All the glory in the world belongs to Him"	Normal	tems
I just I love it with my life.	Normal	tems
"My people dem, I missed you so much
I was cooking, the musik carry me where I kno no??"	Normal	tems
Ehem is this thang still wokin ??	Normal	tems
"Jul 31, 2022 
Nairobi kenya , I'll be coming very soon ??????"	Normal	tems
Love you London, Thank you???	Normal	tems
Beast in Tems clothing?	Normal	tems
My heart fgs ?????	Normal	tems
Don’t be deceived??	Normal	tems
Bring your bikinis! It’s gonna be hawt???	Normal	tems
"God said “more than you can ever imagine x 100”

I LOVE YOU ALL, ITS FOR LIFE."	Normal	tems
Goise Please Never forget: We are all Mad???	Offensive	tems
"Btw I never stopped producing. I just wasn’t ready to share it. I told 
@GuiltyBeatz
give me all the beats that I will NEVER do in this life. And the result was IF ORANGE WAS A PLACE. 

My Debut Album is packed with my production. And I’m 100x better than I was 3 years ago."	Normal	tems
"
Where I made FOR BROKEN EARS."	Indeterminate	tems
"
Trenches is a real place."	Normal	tems
"
Good morning to my beautiful baes all over de worl, how you deyyyyy???????"	Normal	tems
"I’m taking today to appreciate alll the Sisters today. Thank you for existing, thank you for deciding to get up and do something because someone saw that and became inspired by it. 
@Asa_official 

@Omawumi 

@TiwaSavage 

@yemialadee 

@OfficialWaje 

@SympLySimi 

@OfficialNiniola"	Normal	tems
"@amaarae

@Gyakie_

@ayrastarr

@faveszn

@TeniEntertainer

When I see anyone of you gracing a stage, I feel like that’s me. We’re all winning and we’re about to move in like a Tsunami. So before it starts, know that Love lives on this side.
As we show th"	Normal	tems
"And if I missed any messages it is definitely unintentional. I don’t take your kind words and support for granted. Sending you all love today because you DESERVE.
Love always?????"	Normal	tems
"Dear Gang, 

Unfortunately tomorrow’s show (22nd) is now postponed to next month. 

We apologise for any inconvenience this may have caused. 

These are the new dates. Thank you for your love and understanding 

-Management"	Normal	tems
New dates?????	Normal	tems
June Baby???	Normal	tems
"New #LeadingVibeRadio drops tomorrow at 3pm WAT! 

So grateful to have Stormzy join us on this one. 

Stay tuned!??:"	Normal	tems
"I need to say a HUGE THANK YOU to my managers 
@IAmDonawon
@kingwdavies.

Work Ethic is unbeatable, even when I’m out here going crazy, yah hold me down. It’s ordained. Love you guys so much.

And Muyizzz my big bro, I’ll keep working hard. It’s For life??????"	Normal	tems
"I need to say a HUGE THANK YOU to my managers 
@IAmDonawon
@kingwdavies.

Work Ethic is unbeatable, even when I’m out here going crazy, yah hold me down. It’s ordained. Love you guys so much.

And Muyizzz my big bro, I’ll keep working hard. It’s For life??????"	Normal	tems
Tired honestly ??????	Normal	tems
"Comrade calm down, it’s on the way.
Wait for me??"	Normal	tems
"Look I have my own type of dance. I know how it looks. It’s so beautiful and raw. It’s my own special unique dance.
So you just gonna have to get used to it and rock with me. 
Cuz that shit is here to stay??"	Normal	tems
Toronto, I’m comingggg??????	Normal	tems
Ok Back to Business. Byeeee	Normal	tems
"Nah Fuck the Hate. Fuck the fakes. 

I have to apologise to my fans the entire gang, my team. Can’t believe I didn’t see this shit before. 
I’m the fuckn prime. It’s over.
Lmaooooooooooooooooooooo

I’ve been delivered from my slumber. 
We’re switching this shit up."	Offensive	tems
Love you Brighton??	Normal	tems
"Thank you 
@CocaCola
for the invite to participate in The Conductor, along with some really amazing artists from around the world."	Normal	tems
Free your mind??????	Normal	tems
Love you D.C???	Normal	tems
"Appreciate you!??? 
@1future"	Normal	tems
The leading vibe????	Normal	tems
"Massachusetts ????
I love you so much??"	Normal	tems
"Providence, Rhode Island????

Thank you????"	Normal	tems
Baby in Pink??	Normal	tems
"The good soil??, 3pm ???? time
Let’s goooo??????"	Normal	tems
Gats to oyel it??	Normal	tems
My guyssss??	Normal	tems
I just dey greet una. Happy Sunday??	Normal	tems
"
I just dey greet una. Happy Sunday??"	Normal	tems
This is the beginning of my own year, my first drop of the year will be on the show. Tooo excited ??????	Normal	tems
Keep on thinking	Normal	tems
"Time always will tell. 
LEADING VIBE RADIO x 
@AppleMusic

Nothing like this one, JOIN ME THIS SATURDAY April 3rd with yah Eye Shining!! By Yours truly???"	Normal	tems
6pm. Watch this space??	Normal	tems
Brighton we coming!?	Normal	tems
"I found a new excitement and I can’t wait to share it when it’s time. 
I’m only writing this just in case there’s someone here that needs to see this shit. 
It could all be over in a second, figure your shit out so you can at least enjoy the fuck outta life before you go."	Normal	tems
"Just become aware, cuz once you do the only way is forward, once you understand, you can’t stop understanding. 
Life is either or, so choose a side 
Choose to know yourself.
Cuz if you don’t know why you’re here, no one can know for you."	Normal	tems
"Self awareness. That’s it 
I take time off to know myself because my music is fuckin real. It comes from the most honest part of me and that place must always be true as I live my life."	Normal	tems
"The real beauty is in the process. 
It’s not the result. 
The beauty is in the moment not the memory, the memory is the collateral."	Normal	tems
"Let’s goooo??? 
@glastonbury"	Normal	tems
I really just want the gang to enjoy meeeeee, You will know who I am???	Normal	tems
Thank you ??????	Normal	tems
"What good is an opinion when it doesn’t change facts???

Do more, talk less?"	Normal	tems
It was all a dream, headlining at Strawberries and Cream Nigga Screammmm!	Normal	tems
Gang????	Normal	tems
Bee dear!?	Normal	tems
"ONE DOLLAR?!!??
Your love > cash anyday!!???"	Normal	tems
"So GANG?? join me tomorrow, I can’t wait to see you all. Tix are online but they’re also gonna be at the door.
This is the link. See you there?"	Normal	tems
"I’m not used to talking too much when things aren’t going as planned but Gang, I got really sick recently.
Honestly it was bad.

I’ve had to cancel a lot this December. Except tomorrow. It’s my only real show this time. And I want to make it so special???"	Normal	tems
Merry Christmas Gang!?????	Normal	tems
"LAGOS! It’s going to be special??

Can’t wait to see you all ??"	Normal	tems
Next year???	Normal	tems
"This very day Last Year, I was sitting in prison in Uganda bonding with women and kids. 
I almost can’t believe the things I’ve seen so far. 
All I can say is God is too awesome and He will always have the last and final laugh???????"	Normal	tems
Final London show tonight! It’s been so special. This one will be the best yet. SEE YOU SOON???????	Normal	tems
Last Night was too incredible!! Energy too pure! Thank you to everyone that came out I love you can’t wait for the next one???	Normal	tems
Love you Queen!!????	Normal	tems
Closing it all with my day 0s. LAGOS, this December????	Normal	tems
God always makes a way, I can’t believe it, I’m HOME??????	Normal	tems
Took me tf outtt #Adele30?	Normal	tems
"My FAV 
@Adele
jus dropped!! First time she played this to me I sobbed from beginning to end, in front of her! 
it was so embarrassing??

The fuckn GOAT?"	Normal	tems
To My UK Gang ??????	Normal	tems
"Good Morning Gang, I’m so pleased to announce my Tiny desk’ 
@npr
is OUT!??
"	Normal	tems
I do what I do and you do what you CAN do about it.	Normal	tems
"Unbelievable, London Koko already sold out ?
Soo excited to see youuu
Birmingham tix still available??"	Normal	tems
Gratitude is the truest form of self-love, Its a deeper level in the game.	Normal	tems
Damn.	Indeterminate	tems
Don’t be annoyDed	Normal	tems
"
One Heart (Can Change The World) from ""Ozi: Voice of the Forest"" 

OUT NOW on alll platforms #OZIVOICES"	Normal	tiwa
"
Big T, Ma fo ????"	Normal	tiwa
"

Water and Garri has become the BIGGEST weekend opener ever for Prime Video Nigeria, achieving the highest number of streams amongst all titles on the platform. 

A big thank you to all our talent, crew, supporters and partners for making history with us ?? ?????"	Normal	tiwa
"
Top10 in 14 countries

Thanks to the WAG family worldwide for the love and support"	Normal	tiwa
"
Water and Garri make eba on your wedding day ??

Thank you Lagos for Showing up yesterday ??"	Normal	tiwa
"
Thank you to everyone that showed up for the US premiere of Water & Garri ??

We're coming home! Lagos see you tomorrow"	Normal	tiwa
"
London premiere for Water and Garri was simply beautiful, thank you to everyone that came out to support

Next stop New York ??"	Normal	tiwa
"

Youre in my head, papi ??"	Normal	tiwa
"
Men are actually crazy but I still want one in my bed sha ????

My sis 
@SympLySimi
got one crazy record ft ABG this Friday 5/4/24"	Offensive	tiwa
"
You gatz to hustle full course, gamble, roll dice - Big Kala 24"	Normal	tiwa
"
BIG KALA ????"	Normal	tiwa
"Guys, Im so excited to announce that my first feature film #WaterAndGarri will be released *this year *through 
@PrimeVideo
and shown in over 240 countries and territories worldwide!

This has been over two years in the making and I must say this is probably one of the most adventurous, fulfilling things Ive done. 

I feel blessed and honoured not only be making my debut as a lead actor, but to have also executively produced this film.

I honestly cant wait to take you guys along with me on this next phase of my life and art. Im just getting started."	Normal	tiwa
"
Feb 21 
Thank you London ??"	Normal	tiwa
"
Who da f$ck says I cant. 

15.03.24 - 100Million 
@Odumodublvck_"	Offensive	tiwa
Flip phone ease vs big phone squeeze.??	Normal	tiwa
"
Roll On Me out now with my favorite Mauritian babe 
@iamlavaud
??"	Normal	tiwa
LA !!! lets Party ??	Normal	tiwa
"Thank you Dallas ????

San Francisco ! See you soon "	Normal	tiwa
"Blessed to be part of this iconic 
@Pirelli
project ??????"	Normal	tiwa
"Aug 25, 2023 
Thank you DC for kicking off the tour right ! ???? ??"	Normal	tiwa
New York tonight ????	Normal	tiwa
"
Not 'gon hide this, the CAMON 20 Premier 5G is the true holy grail of innovation and elegance.
"	Normal	tiwa
"
Thank you Chicago ??, ATL Tonight 

Ticket link in Bio ??"	Normal	tiwa
"Sep 5, 2023 
Sometimes they force me to be girly ??"	Normal	tiwa
"
Not 'gon lie, this one is gonna be very special

OVO WEMBLEY ARENA"	Normal	tiwa
Ori mi ti fe blow ????	Offensive	tiwa
Eyes on the prize.	Normal	tiwa
"A visit from the legend 
@9iceofficial
, thank you so much boss 

Pick Up OUT WORLDWIDE ????"	Normal	tiwa
"Jun 11, 2023 
Eyes on the prize."	Normal	tiwa
"A visit from the legend 
@9iceofficial
, thank you so much boss 

Pick Up OUT WORLDWIDE ????"	Normal	tiwa
Never let the devil, kolobi my happiness	Normal	tiwa
"Such an honour to do this refix with the original vocals of the ICON Bob Marley on this special project

Waiting in vain OUT NOW"	Normal	tiwa
Who is your guy ? ??	Normal	tiwa
"Sweet sounds with my G 
@MajeeedOfficial
"	Normal	tiwa
"Last night was unreal. I was invited to celebrate 30 years of red bottoms with the legend 
@LouboutinWorld
"	Normal	tiwa
"It's one of the most anticipated day of the year and I hope y'all are enjoying it to the fullest.

Merry Christmas. ??????"	Normal	tiwa
"5 million views in 5 days, thank you soldiers ??

Keep on streaming, link in bio ??"	Normal	tiwa
LOADED with Beauty, Body, Bank Balance ... All B's cause I'm a Bad B ??	Normal	tiwa
"LOADED with Mr Money , out tonight 12am ???? time 
"	Normal	tiwa
"Niaje Kenya ? 

I would be in your city on the 28th and 29th of this month, see y'all soon ??"	Normal	tiwa
"My limited-edition Lipstick in a bright red shade and Matte finish, which is long wearing for up to 10 hours.

Shop this limited edition lipstick now and be bold and beautiful"	Normal	tiwa
"Lets have some koo koo fun ????
Out now on all streaming platforms"	Normal	tiwa
This is not why we are here, were here to have some fun, some some KOO KOO FUN ????????	Normal	tiwa
"DMV !! I will be Headlining Heat Wave DC Concert on September 30th.

See yall ??"	Normal	tiwa
Maybe na the highness .. make me look the finest to you ??	Normal	tiwa
"Veni, Vidi, Vici (I came, I saw, I conquered)

Wembley Arena '23..isss going

#wagtour 22 it's a wrap, thank you soldiers * #soldout"	Normal	tiwa
"Pulled up for my brother 
@Omarion
, love always ?? 

See y'all on Saturday, few tickets left"	Normal	tiwa
"Pulled up for my brother 
@Omarion
, love always ?? 

See y'all on Saturday, few tickets left"	Normal	tiwa
"
JAIYE FOREIGN Out now on all platforms."	Normal	tiwa
9 more days to go, few standing tickets left	Normal	tiwa
"Pls help me tag
@RAM_Maroc
and spam
their account till they give us
our luggage.

This airline has not provided
our luggage for over 6 days
and now they said they don't
even know if it's at Heathrow or Morocco or if it's lost and no remorse."	Offensive	tiwa
We made them Sleepless in Seattle ?????? #WAGTOUR	Normal	tiwa
"
AUG 13th ????, ticket link in bio ??"	Normal	tiwa
Heres a toast to the girl I love the most ????	Normal	tiwa
"????Uganda, Im on my way and I cant wait to meet yall??

??Lugogo Cricket Oval
??29th July"	Normal	tiwa
"This one na BIG PROBLEM O

No Wahala remix by 
@1dabanton
ft 
@KizzDaniel
and N1 ABG out in a few hours

If you ready let me hear you say yeah yeah"	Normal	tiwa
Manchester Im all yours tomorrow	Normal	tiwa
"No Wahala remix video out now 

Soldiers run up the number ????"	Normal	tiwa
"We are doing a madness this summer
Europe tour dates just went live 

Ticket link in bio  Seeing yall fine faces real soon. 

Rep your city with your flags in the comments"	Normal	tiwa
We made them Sleepless in Seattle ?????? #WAGTOUR	Normal	tiwa
"Thank you 
@4everBrandy
?? this is still so surreal. So beautiful, so spiritual"	Normal	tiwa
9 days to go, are yall ready !!!	Normal	tiwa
"Pull up this Friday, if you truly love Tiwa Savage ??????

Tiwa Savage live in concert"	Normal	tiwa
"This one na BIG PROBLEM O

No Wahala remix by 
@1dabanton
ft 
@KizzDaniel
and N1 ABG out in a few hours

If you ready let me hear you say yeah yeah"	Normal	tiwa
"New York tonight @ Ford amphitheater 
Somebodys son might find me o
No alakori please 
One Africa Music Fest"	Normal	tiwa
"@bbcthree
#TonightWithTarget. In honour of Nigerian Independence Day ????????????????. 
@bbciplayer
now."	Normal	tiwa
Got a special visual for yall, 6 days from now ??	Normal	tiwa
Growing  one city at a time. Thank you sacremento ??	Normal	tiwa
Turn up for love, somebodys son out tomorrow ??	Normal	tiwa
Pastor Annie says you can receive the prayer by streaming Somebodys Son ??????	Normal	tiwa
It's a new week. Let's all work fada...????	Normal	tiwa
"My team says na ""Fund me one day"". Oya ladies update lyrics o ??????"	Normal	tiwa
"??????

Its always a good day to listen to WaterAndGarri"	Normal	tiwa
Sorry, Im not Sorry ??	Offensive	tiwa
I Can And I Will !!!!!!!! ????	Normal	tiwa
"WORK FADA 

It might take you hours, and it might even take you days, you can use your hands, And you can build a house.

Work and Believe ????"	Normal	tiwa
My dancing partner ?????? you know its on this December. Love you sis	Normal	tiwa
"Reaction video when I heard 
@4everBrandy
vocals first time ???????

This songgggg WOW, it hits me like its a gospel song"	Normal	tiwa
Fun time shooting the Cover of Water And Garri ??	Normal	tiwa
Amen o	Normal	tiwa
I took a chance, I broke free, I put the music first, I created without fear. I didnt know what to expect when I dropped this, but you all feeling this EP means I can never go wrong if I truly listen to my heart	Normal	tiwa
Thank you for encouraging me to do this	Normal	tiwa
"I AM LITERALLY CRYING RIGHT NOW

No 1

This is for my daddy and Habeeb. Wish you both were here to see this. Rest on ?? 

Water And Garri EP OUT NOW"	Normal	tiwa
#Energy WORLD BEST ... No cap ??	Normal	tiwa
A peace that surpasses all understanding ????	Normal	tiwa
Lovely meeting you ????	Normal	tiwa
"Guess who???

The sweetest sounds about to drop ..
Is your notification on?"	Normal	tiwa
"
Me on the cover of 
@allure
magazine THIS IS NUTS ??????

Thank you 
@heymichellelee
and @EugeneInTheCity 

2nd cover this year, Soldiers lets goooo ????"	Normal	tiwa
Love you sis ??????????	Normal	tiwa
Happy new year	Normal	tiwa
"4th Official video from #Celia 
Thank you for watching and streaming 
#ParkWell OUT NOW on YouTube"	Normal	tiwa
Thank you ??	Normal	tiwa
Happy birthday hun ??	Normal	tiwa
If I say I dont see all the #TiwaAtMobo from you all Id be lying. Keep sharing your best moments with me. ?? when I say I love you guys, I really mean it	Normal	tiwa
Awwww ????	Normal	tiwa
Blessings	Normal	tiwa
Guys check out the mobo awards live streaming now, Ill be performing and repping ????????????	Normal	tiwa
You got it boo	Normal	tiwa
Thank you my beautiful Queen ???? thank you	Normal	tiwa
If I say I dont see all the #TiwaAtMobo from you all Id be lying. Keep sharing your best moments with me. ?? when I say I love you guys, I really mean it	Normal	tiwa
Thank you #Celia	Normal	tiwa
I knowwww ?? its because of lock down, you no like am? ???????	Normal	tiwa
And I will always love you too ??	Normal	tiwa
Great catching up with you ??????	Normal	tiwa
By His special grace. Thank you ??????	Normal	tiwa
Help me thank your wife ??????	Normal	tiwa
Thank you so much, love you too ??	Normal	tiwa
Love you too, from day one ??????	Normal	tiwa
?????? but where is the lie ????	Normal	tiwa
Im glad you know its YOU guys I was talking about. Because say I quiet no mean say I be fool - dont try and turn nigerian media against me to hide your guilty conscience. Ask all the media houses I have great relationships with them. What you did with this is pure EVIL.	Offensive	tiwa
?????? you know how to diss out but you no fit take am when someone speaks up. Struggling brand ke. Even my son bagged more money than your whole company	Offensive	tiwa
"
guy you came to my house to do interview then you asked for pictures. Bitch you are a fan. Fuck you"	Offensive	tiwa
Nigerians, they say we are slow o	Offensive	tiwa
God pass dem all ??????	Normal	tiwa
Wow honestly I really appreciate this. Thank you ??????	Normal	tiwa
Na themselves dey go mock, love you hun	Offensive	tiwa
That would be magic	Normal	tiwa
?????? but where is the lie ????	Normal	tiwa
Rehearsal for my Mobo performance today was INSANE arghhhhhh ??????	Normal	tiwa
Love you too jum jum ????	Normal	tiwa
?? I love you just the way you are ??	Normal	tiwa
