S/N,Date,Tweets
23,13-4-2024,"
Just here living a fulfilled life that God has given me. Blessed #Spain🇪🇸"
24,13-4-2024,"
Thanks a bunch, dear brother! Always a pleasure! 🙅‍♂️"
25,13-4-2024,"

Taking a stroll down memory lane from 5years ago with 
@laliga
. I find myself back again, equipped with additional experience. #ProjectCameronOkoye"
26,12-4-2024,"
Point of clarification! No one has used my Facebook account for any unauthorized activities! My Facebook account is verified! Please take the time to read my pinned tweet! Exercise more caution in the future."
27,9-4-2024,"
A couple of weeks from now, I will be embarking on a journey with my fans, friends, and family to showcase all that I have been diligently working on! I am particularly thrilled about the entire process and the project as a whole.✌🏾🙅🏽‍♂️"
28,4-4-2024,"

Show some love for the Blues! The Boy Wonder and the team did it!💙💙💙💙💙💙💙💙💙💙 
@ChelseaFC"
29,30-3-2024,"
Still here! Nothing to prove anymore but enjoying 😊🙅🏽‍♂️🙅🏽‍♂️"
30,21-3-2024,"
Tell ‘em that it’s human nature!
 If they say why (why?)☺️🙅🏽‍♂️"
31,11-3-2024,"
Blessed! 😇🙏🏽🙅🏽‍♂️"
32,7-3-2024,"
Thursday afternoon with love!🖤🩶"
33,2-3-2024,"
Rest well Mr Ibu. 
We will definitely miss you! 🕊️🕯️🕯️🕯️🙏🏽💔 #RIP."
34,25-2-2024,"
My Sunday is happy 🙃… how about yours?"
35,20-2-2024,"
Bro check your dm."
36,8-2-2024,"
Read my pinned tweet."
37,31-1-2024,"
Forever blessed and grateful! 😇🙏🏽🫶🏾🙅🏽‍♂️"
38,28-1-2024,"

Scam!!! Run!🏃"
39,28-1-2024,"
Scam!!! Run!🏃"
40,15-1-2024,"
Replying to 
@SagirMansur7
lol 🤣 they fooled you!"
41,15-1-2024,"
Replying to 
@SagirMansur7
Hope you have not been scammed by this fraudsters? Pls read my pinned tweet."
42,5-1-2024,"
This is 2024 be wiser and Blame yourself for greed and stupidity! Read my pinned tweet."
43,25-12-2023,"
I too Love Bros J! E dey para seh😂😂🎄🧑‍🎄"
44,25-12-2023,"
Most driest Christmas ever!
Wetin happen?🤧🤦🏽‍♂️🙈"
45,16-12-2023,"
After all the warnings! Pls read my pinned tweet!"
46,11-12-2023,"
Thanks for having me sir I really appreciate and I cant wait to visit again soon 🙏🏽🙅🏽‍♂️🙏🏽🙅🏽‍♂️🙃 😇 BLESSED."
47,11-12-2023,"
Records will be broken, but one thing that will never be broken is being the first to do something.🙅🏽‍♂️"
48,23-11-2023,"
Dollar and bread are doing price challenge."
49,15-11-2023,"
You'll end up really disappointed if you think people will do for you as you do for them.
Not everyone has the same heart as you."
50,7-11-2023,"
In America, the symbol of love is flowers. In India, it's music.
What is the symbol of love in Nigeria? 🙄😏"
51,6-11-2023,"
Are you sure?🤣😂🤣"
52,6-11-2023,"

How you see am?🤣😂🤣😂"
53,6-11-2023,"
This break and holiday go long!…"
54,6-11-2023,"
LET THEM BE WRONG ABOUT YOU. YOU HAVE ABSOLUTELY NOTHING TO PROVE! No pressure at all! I don't have anything to prove to anyone but myself. After how many years in the industry?😝🤓
As a matter of fact i still dey holiday since dey play Golf⛳️🏌️‍♂️dey enjoy my life!🙃😁 You gerrit."
55,5-11-2023,"
So after reading my pinned tweet you fall for this scammers! Blame yourself. Shame👎🏾"
56,3-11-2023,"
Who is cooking? And who is being cooked?"
57,2-11-2023,"
Thugs on uniform…. This is unacceptable! Dear 
@alexottiofr"
58,1-11-2023,"
Mr Psquare
@PeterPsquare
·
Nov 1, 2023
Wait, what?😂🤣😂🤣😂"
59,31-10-2023,"
🫡🪖🎖️BE STRONG, BE BRAVE, AND BE FEARLESS✊🏾"
60,29-10-2023,"
Election has consequence if you allow yourself to be blinded by Ethnic sentiments and Tribalism.

Day don dey break! This is just the beginning...👨🏽‍🦯👨🏽‍🦯👨🏽‍🦯👨🏽‍🦯👨🏽‍🦯 Let me just continue learning the lessons they are teaching me!🤧"
61,29-10-2023,"
Pls did Yakubu and his squad officiate the fight?🤔🙄 #FuryVsNagnnou 🤔"
62,29-10-2023,"
Can’t believe this! But Ngannou won🤷🏾‍♂️"
63,28-10-2023,"
Una sure say this Christmas go hold?👨🏽‍🦯"
64,27-10-2023,"
When I say I'm blessed I don't mean Money or Material things...
I mean situations that was sent to destroy me but didn't even touch my soul. HAVE A LOVELY WEEK!"
65,25-10-2023,"
Eiya!!! 👨🏽‍🦯"
66,25-10-2023,"
Na now day just dey break!🤣😂🤣"
67,24-10-2023,"
Gen z brother why? $1000 = 1.2m 😩😩😱🙆🏽‍♂️ Go and beg your village people😭

Join 
@zanobidafrica"
68,23-10-2023,"

Pepper don dey enter there eyes! Ndi Standing on Your Mandate we shall stand!🫣"
69,20-10-2023,"
Count your blessings and name them one by one! Thank God it’s Friday🙏🏽👌🏾☺️😇"
70,18-10-2023,"
They’ve also called me on that format! But trust me anyone that believes those video calls need to go check their brains! 👎🏾"
71,18-10-2023,"
This sh!t is getting out of control!"
72,18-10-2023,"
The same way they did to me! It’s getting out of hands! Crazy!"
73,18-10-2023,"
Prayers and support for Mr Ibu🙏🏽❤️"
74,14-10-2023,"
They are now coming up with excuses after their mandate is not mandating!.. 🤮🤦🏾🌽🤦🏽‍♂️🤦‍♀️🚶It is well."
75,14-10-2023,"
Sh!t😂🤣😂🤣😂"
76,12-10-2023,"

·
Oct 12, 2023
😷🤧😷🤧😷 Shame!"
77,12-10-2023,"
1027 Naira to a Dollar! Even the “Renew Hope” is now Hopeless😷"
78,12-10-2023,"
Over hope🌽😷🤧🤮"
79,7-10-2023,"

Just for cruise!🤣😂
I still fine pass them girlfriends!🤣"
80,7-10-2023,"

3 different club in just one night … Abeg I Dey go house😫"
81,6-10-2023,"
Remember! When you say Yes” to others make sure you not saying No to yourself!"
82,1-10-2023,"
Scam! Run 🏃‍♂️"
83,29-9-2023,"
Hope is Hopeless indeed🙄"
84,29-9-2023,"
4000 Imo youths will be employed in Europe! And they are jubilating!  Eiya! 🤣😂🤣😂 It is well!😆 APC🤧😷🤮"
85,27-9-2023,"
I don’t understand!🤷🏾‍♂️
“Modification of the Naira” Use Cassava!🤮 like wtf!🤐"
86,27-9-2023,"
You better run away from this fraudsters! Go read my pinned tweet! Who even pays for a Giveaway! Like what’s wrong with y’all? At this point just know that You are actually the one doing the Giveaway for those scammers! Shame! Shame! Shame! 👎🏾"
87,27-9-2023,"
Value yourself and don’t let anyone bully you my brother! You’re an asset and We are with you %100 
@victorosimhen9
 Remain blessed always🙏🏽💡"
88,21-9-2023,"
👌🏾💯 #Justice4mobhad"
89,16-9-2023,"
THE GREATEST PRISON THAT PEOPLE LIVE IN IS THE FEAR OFWHAT OTHER PEOPLE THINK. #Justice4Mohbad Y’all have a wonderful weekend!🙅🏽‍♂️"
90,16-9-2023,"
Don't let the fear of what people might think to stop you from speaking your mind, speak up, you deserve to be heard. #Justice4Mohbad"
91,16-9-2023,"
If they like let them call you Talkative! Never stop speaking up!
Remember, He who does not have the courage to speak up for his rights cannot earn the respect of
others. #Justice4Mohbad"
92,16-9-2023,"
Speak up, because the day you don't speak up for the things that matter to you is the day your freedom truly ends! #Justice4Mohbad"
93,16-9-2023,"
THE ONLY PEOPLE WHO ARE MAD AT YOU FOR SPEAKING THE
TRUTH ARE THOSE PEOPLE
WHO ARE LIVING A LIE.
KEEP SPEAKING THE TRUTH. #Justice4Mohbad"
94,16-9-2023,A lot is happening! Like WTF! #Justice4Mohbad
95,16-9-2023,"
A lot is happening! Like WTF! #Justice4Mohbad"
96,7-9-2023,"
""When the law no longer protects you from the corrupt. but protects the corrupt from you
you know your nation is doomed.""  It is well."
97,7-9-2023,"

No Justice for Poor Man for Nigeria! Period! ⚖️"
98,7-9-2023,"
One day!… And just one day! Very soon! 🔜"
99,7-9-2023,"
Imagine studying law in a lawless country!… Shame!"
100,4-9-2023,"
Remember! Every morning you have 2 choices. Continue to sleep with your dreams or wake up and chase them! GOOD MORNING!"
101,30-8-2023,"
Calling out more banks! This people think I’m stupid! 
Now they are using my name to scam innocent people! I am Suing this Banks for damages and calling them out! One after the other! 
@officialEFCC
 take note! Enough is enough! 
@PolarisBankLtd
 & 
@myaccessbank
 I am coming all out!"
102,30-8-2023,"
@myaccessbank
 you also also allowed someone open an account name “PETER OKOYE PSQUARE ”without valid means of identification, no biometrics, no BVN, no verified address or even utility bill to correspond with the address of the account owner? My lawyers are coming! 
@officialEFCC"
103,30-8-2023,"
Enough is Enough!!! 
It's either it's an inside job or otherwise! I have a name to protect here and save some of this innocent victims! So get ready for me and my legal team!
How can 
@PolarisBankLtd
 allow someone to open an account in the name of “PETER OKOYE PSQUARE” like WTF!"
104,30-8-2023,"
Exactly what my lawyers have been dealing with! 
@PolarisBankLtd
 You allowed someone to open an account with the name “PETER PSQUARE OKOYE” without due diligence and this individuals have been defrauding innocent people and you expect me not to call you people out! coming for you!"
105,30-8-2023,"
“Tell them to make noice to make noise🤷🏾‍♂️” Ali Bongo🤔🤧"
106,30-8-2023,"But it's really painful that we don't value our country again cos of bad leadership, It's so sad. No lies!😐"
107,24-8-2023,"
How una dey for dat side? Me i dey alright for dis side! …. 🚶"
108,22-8-2023,"
Make them give them all the money Nigeria get make everybody rest!🤣😂🤣😂 Welcome to Renewed Promax Shege🙊 Jokes on you if you think politics is none of your business 😎"
109,20-8-2023,"
Palliatives on a federal highway!😂🌽🌽🌽🌽🌽🌽🌽🌽🌽"
110,20-8-2023,"
Jungle don really mature!🤣🤣🤣🤣 Children of Corn trying so hard to explain the situation about subsidy on my timeline!😂🤣 Una go explain taya! Better go and collect your own palliatives!🌽🌽🌽🌽🌽 E go reach everybody! Ndi lesson teacher! #RenewedShegeProMax"
111,20-8-2023,"
😂🤣😂🤣 Corn heads! I heard they are buying fuel cheaper!🤣😂"
112,19-8-2023,"
Una see those people wey Dey chop Corn🌽🌽… Dem must stand and remain on that dia mandate oh!.. I Dey my 2nd home for America where dem dey teach me Big Lesson!🚶And we Dey suffer for here with no evidence!…. It is well! #RenewedShegeProMax 🇺🇸Detroit see y’all tomorrow! 👌🏾"
113,20-8-2023,"
Yes! Children of corn 🌽 😂🤣"
114,10-8-2023,"
“This administration will favor me and my people” How much is one egg and Indomie small pack again?🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️"
115,10-8-2023,"
Africa joins the west to fight Africa. TOTAL MADNESS!👎🏾🤮"
116,30-7-2023,"
Not my own zoom! Read my pinned tweet."
117,28-7-2023,"
Dem go explain taya!
How can you plant maize and keep hoping for beans!😂😂😂😂😂 Happy Shege weekend😂"
118,28-7-2023,"
“We will teach them a big lesson after the elections”... dem forget say that same rain wey beat Chinedu go still beat Ade and Musa. It is well🙏🏽 
Una happy Shege weekend!🚶‍♂️"
119,18-7-2023,"
Lessons Will Be Learnt! + 8k🌽😷 How market? 🙌🏾👏🏾🫶"
120,15-7-2023,"
Keep smiling😁!… keep shining🌟 😎✌🏾"
121,15-7-2023,"
The 8k would favour them and their family! God bless them. 🙏🏽😇"
122,15-7-2023,Pls tell them to try and manage the 8k.🌽🌽🌽🌽🌽🌽🌽🌽
123,15-7-2023,At least you mentioned me and Elun without mentioning your self 🤣😂🤣🤣🤣
124,15-7-2023,"
Eiya🤣😂🤣"
125,15-7-2023,"
Some corn🌽 people are so mad about my last post! Eiya! Sorry oh! It’s so obvious that it wasn’t how they expected it to be! 😂🤣🫣"
126,15-7-2023,"

Dem Dey try teach me! I Dey learn 🙄"
127,13-7-2023,"
Read my pinned tweet! I am sure this scammers have scammed you! Don’t make a fool out of your self."
128,9-7-2023,"
If it’s a crime to enjoy my life! So be it!…. Send me to Prison.🙃🍾
@aphrospirit
 is the vibe👌🏾"
129,9-7-2023,"
Go read my pinned tweet! A word is enough for the wise."
130,7-7-2023,"
Social media has everyone rushing their goals; remember, comparison is the thief of joy
Focus on you."
131,5-7-2023,"
Joker! Better go read my pinned tweet!"
132,4-7-2023,"
I don’t own any Giveaway platform! Becareful and go read my pinned tweet!"
133,26-6-2023,"
Their opinions will never pay your bills. Just so you know.📌"
134,15-6-2023,Correction! You never got scammed by my own Zoom! You got scammed by a fraudsters due to selfishness and greed! Blame your self and take some time and read my pinned tweet!
135,13-6-2023,"
Let them be wrong about you... there is nothing to prove. 🙃👌🏾"
136,7-6-2023,"
May your mother live long to reap the fruits of her labour!🙏🏽😇☺️ Comment with a big AMEN🙏🏽"
137,6-6-2023,"
Will still not have sense*"
138,25-5-2023,"
I thought they said Nigerians are smarter and wiser! How can you just believe to be chatting with me? Like am I that jobless? Some of una no rate me at all! Just look at how many Watsap numbers claiming to be me! Isn’t that not suppose be a red flag 🚩? But greed would not all "
139,22-5-2023,"
It’s a new week! 
""EITHER RUN THE DAY
OR THE DAY RUNS YOU"" stay blessed🙏🏽👌🏾🙃☺️"
140,18-5-2023,"
This life no balance! 🤐😵🙄 No one gives a damn until something happens....
You are all you've got #LoveUpYourLife"
141,16-5-2023,"
My fellow Nigerians! Make una shine una eyes ! 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ Shame!"
142,14-5-2023,"
What ever you do in Nigeria🇳🇬! 
Just pray 🙏 that Nigeria will not happen to you!📌"
143,14-5-2023,Eiya! Hater is that you?😂🤣 Pained!
144,13-5-2023,"Pls Nigerians any advice for him?

Let me just help him retweet his Stupidity, Selfishness and greed!  

As old as you are someone wrote you on Facebook with an unverified account and send your a Watsap number and told you to pay money to receive money and after getting scammed  https://x.com/opeycouture/st/opeycouture/status/1657293128758444033
Show more"
145,10-5-2023,"“Would love to retire from music soon but our fans won’t let us! So we have no choice. And That’s why we are still Selling Out Stadiums and Arenas! We are blessed 🙏🏽☺️” 
@cnni
 
@CNN
 #Psquare100CitiesWorldTour"
146,8-5-2023,"
JUST CURIOUS!
You dey call person wey get money ‘MONEY MISS ROAD’.  But the same MONEY never MISS ROAD come your side!🤔"
147,8-5-2023,"
I didnt see you mentioning your own name? 🤷🏾‍♂️"
148,2-5-2023,"
When we sing ""E no easy eeh"" some of una bin think say na joke. 🤣😂💔😭"
149,2-5-2023,"
It is now left for The court to interpret the constitution! ☺️🙏🏽 God bless PETER OBI🙏🏽 💯OBIDIENT for Life👌🏾"
150,1-5-2023,"Everyday I remind myself that there are certain people I owe.
People who have shown me kindness, helped me, heard me in my silence, stood by me, favoured me, even prayed for me.
I'll never allow the media's conception about not owing anyone get me. These people, I owe them!👌🏾"
151,1-5-2023,"
Entitlement is a delusion built on self-centeredness and laziness.📌"
152,1-5-2023,"
Watch carefully! Does this video look real to you? They inserted my old video and speak in the background. The voice and the video doesn’t even sink! I wonder how some of you fall for this fraudsters! Like how?  Shame!🤮… it’s only greed and selfishness would make you believe this fraudsters! Be wise!"
153,30-4-2023,"
Only greedy and selfish people will believe those scammers! At there own risk! My Good Name  remains intact and still progressing."
154,30-4-2023,"
Sometimes you have to accept the truth and stop wasting time on the wrong people. Some people don't realize how hard you are riding for them, until you park!"
155,29-4-2023,"
And to you this video and the voice looks real to you!? The voice and the video and not even sinking together! Smh!"
156,29-4-2023,"
How can some tell you to pay money to receive money? Why not tell the scammer to minus the 45k from the 840k and send you the remaining balance of 795k? What is wrong with you people? I thought they said Nigerians are smart? You better run 🏃‍♂️"
157,28-4-2023,"
Not my own Zoom.
It’s only greedy and selfish people fall for those fraudsters."
158,27-4-2023,"
CONFIDENCE is not
'they will like me'.
CONFIDENCE is
I'll be fine if they don't'.😎👌🏾👍🏾"
159,24-4-2023,"
Over hustle☺️🙏🏽☺️🙏🏽 appreciate"
160,20-4-2023,"
Guys pls advice!👎🏾"
161,17-4-2023,"
Just got Nafdac approved last month. Launching in Nigeria very soon.😉👌🏾 But still available in Ghana and some parts of Africa and also in the UK."
162,17-4-2023,"
I am sorry to disappoint you! It is Not every artiste that must run a record label. Some of us are just too busy doing other things. Most especially People Like me. So slow down with your anger. Thanks. https://x.com/Christalk0606//Christalk0606/status/1647732939726245888"
163,16-4-2023,"
I CAUGHT A FRAUDSTER PRETENDING TO BE ME⛔️

How people keep falling for these Scammers amazes me! Like how? 

It has been 2 years I stopped anchoring and calling 
@zoomupyourlife
 winners! They insert my old video infront of you and start communicating with u with there own voice."
164,16-4-2023,"
Pls let’s be guided! 
DSTV & Netflix are paid by subscription! Not by paying money into any personal bank account! My platforms 
@zoomupyourlife
 and 
@Freebidafrica
 are also paid by subscriptions! And Not by paying money into any personal bank acc! Pls be careful wit dis fraudsters"
165,15-4-2023,"
May God help u. Yes! the foolish Bastard that I am!  "
166,15-4-2023,"
Nobody!….. BLOCKED"
167,15-4-2023,"
Even you way dey LIKE the comment way insult me go follow chop BLOCKING🤣😂. #MyPageMyData #PageCleansing"
168,15-4-2023,"
I didn’t insult anybody! I only aired my opinion! And if you are not ok with it, it’s fine! But that doesn’t give you any right to insult me or any member of my family on my page! So BLOCKING YOU is the only option! Feel free to join dem after all i no Dey feed u! #MyPageMyData"
169,15-4-2023,"
And you r not even my gateman’s mate! So STFU 🤫 Since you wona compare!…. And I just BLOCKED with 20bags of cement!😂"
170,15-4-2023,"
I still remember the days I prayed for the things I have now. 🙏🏽☺️😇#BlessedAndGrateful"
171,15-4-2023,"
So you want a Son like Hakimi. But you don’t want a Husband like him too 😂🤣😂🤣 #SameFoodSamePoison"
172,15-4-2023,"
LASTLY!
𝐀𝐬 𝐄𝐯𝐞𝐫𝐲 𝐌𝐨𝐭𝐡𝐞𝐫 𝐢𝐬 𝐏𝐫𝐚𝐲𝐢𝐧𝐠 𝐟𝐨𝐫 𝐚 𝐒𝐨𝐧 𝐥𝐢𝐤𝐞 𝐀𝐜𝐡𝐫𝐚𝐟 𝐇𝐚𝐤𝐢𝐦𝐢, 𝐭𝐡𝐞𝐲 𝐬𝐡𝐨𝐮𝐥𝐝 𝐚𝐥𝐬𝐨 𝐏𝐫𝐚𝐲 𝐟𝐨𝐫 𝐚 𝐇𝐮𝐬𝐛𝐚𝐧𝐝 𝐋𝐢𝐤𝐞 𝐀𝐜𝐡𝐫𝐚𝐟 𝐇𝐚𝐤𝐢𝐦𝐢 𝐚𝐧𝐝 𝐚 𝐒𝐨𝐧 𝐈𝐧-𝐋𝐚𝐰 𝐥𝐢𝐤𝐞 𝐀𝐜𝐡𝐫𝐚𝐟 𝐇𝐚𝐤𝐢𝐦𝐢.📌"
173,15-4-2023,Make those supposed Hakims twitter warriors have that kind of man as inlaw. You go see how dem go humble dem sef! Ndi ala!😂🤣😂🤣🤣
174,15-4-2023,"
Make all of una go marry una Mama!… no time!😂 Since Hakimi sense wan ki una🤣😂🤣😂"
175,15-4-2023,"
Remember!!!
The one you trusted with all your property in the name of Mother was once your father's wife. #HakimiDivorce"
176,15-4-2023,"
#JustMyOwnViewAndOpinion 
I don’t understand why most men are rejoicing over this Hakimi story? Like I don’t get it🤷🏾‍♂️ The truth is bitter but needs to be told. If you don't trust her then don't marry as simple as that. Or are you expecting your wife to surfer after divorce?🤷🏾‍♂️"
177,11-4-2023,"
So of una no rate me at all🤮👎🏾
So some of y’all think I will put up my phone number online? Jokes!"
178,11-4-2023,"
I did not call you! you better run with your money! Be warned!⛔️"
179,10-4-2023,"
I am not the one! Run!🏃🏃🏃🏃"
180,8-4-2023,"
2023 elections! Na Dey so called “PROFs” Dey disgrace them self this days! 🤮 Shame on all of them! Indi ala🥴😪🤐"
181,8-4-2023,"
Blame yourself! 

Pls let’s be guided! 
DSTV & Netflix are paid by subscription! Not by paying money into a personal bank account! My platforms 
@zoomupyourlife
 and 
@Freebidafrica
 are also paid by subscriptions! And Not by paying money into any personal bank account! Be warned!"
182,8-4-2023,"
Everybody na landlord for him page! No bad tenants allowed!😂🤣 
Call it Pride,Childish or what’s so ever! It is my page not yours! And if you dont like it! Go to court.🤣 #CleansingSaturday"
183,8-4-2023,"
Some of them actually did and I did the needful by BLOCKING them. No time! Yesterday was Good Friday and today is CLEANSING SATURDAY! Everybody na landlord for him page!🤣👌🏾"
184,8-4-2023,"
Pls if I block you on any of my SM platform. Don’t bother sending me a dm with another handle to unblock you! Cos I can’t remember why I blocked you in the first place! so pls I prefer you being BLOCKED! Case closed! happy Blocking with 100 bags of cement! It’s my page not yours."
185,6-4-2023,"
Guys pls advise😤"
186,7-4-2023,"
I repeat I do not own any Giveaway platform! I only own a registered,licensed and approved Lottery platform! Hear yourself out again! Naija and Giveaway 5 and 6. 👎🏾"
187,7-4-2023,"
PETER OBI petition is troubling them😂"
188,7-4-2023,"
Waiting be dis ?😂🤣😂🤣😂🤣 

How Labour Party became the major opposition in less than a year wasn't expected to be honest.

How they are APC's nightmare even after a purportedly won election should tell everyone that this election was actually rigged. 😂🤣😂🤣"
189,3-4-2023,"
DON'T BE AFRAID TO GIVE YOURSELF EVERYTHING YOU'VE
EVER WANTED IN LIFE. #Lifestyle"
190,3-4-2023,"
Dear Nigerians,
How safe is your private telephone conversations?🤔#JustSaying"
191,3-4-2023,"
Meet Their Daddy’s Daddy! The people’s choice🤞🏾#MeetUsInCourt #Obidient💯"
192,2-4-2023,"
In all that we do, let us remember the Sick, Poor and Hungry amongst us. Happy Sunday my friends.
Godless everyone! 🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽"
193,2-4-2023,"
So long as people here on twitter can afford data they are not and cannot be included!"
194,1-4-2023,"
Lol… We are on tour! Wake up from that your sleep."
195,1-4-2023,"
BUSTED!🤦🏽‍♂️
So APC used the same man twice in their drama!🤣😂🤣😂🤣 dead on arrival🫣"
196,1-4-2023,"
This people have no shame!🤮 we thought we’ve seen it all after the FAKE BISHOPS!🤧
The truth about APC Propaganda is finally OUT. watch next video 📸 see d same guy on both videos 📷 APC Propaganda is dead on arrival👎🏾"
197,30-3-2023,"
Go to court!😝"
198,30-3-2023,"
Surely you have been defrauded by this fraudsters pretending to be me! Blame yourself. By the way,  I am in heaven on earth already! Be wiser."
199,29-3-2023,"
Eiya 😂🤣😂🤣😂 pls pray for him guys!😇🙏🏽"
200,28-3-2023,"
Na wa🤦🏽‍♂️"
201,28-3-2023,"
Fam🥰☺️👌🏾"
202,28-3-2023,"
I so need chicken suya right now 😏🍗"
203,28-3-2023,"
Person fine come be OBIdient!  😁😂🤣 Still come get money join😂🤣Wahala🫣"
204,26-3-2023,"
“But Lagos made you” Na dem be dis!😂🤣😂 👇🏾"
205,26-3-2023,"
“If not for lagos!”… “Why didn’t you make it in Anambra state!”

This statement is always coming from people that can’t afford staying in face me I face you in the same lagos!😂 Pls did they forbid you from making it in lagos?🤣😂🤣😂"
206,26-3-2023,"
Lagos made you… Lagos made you!
So Lagos collected your glory and gave it to Psquare?

Lagos no try at all!🤣😂🤣😂"
207,25-3-2023,"
Lol! JAPAD!😂🤣
Like you’ve never seen me or us Touring around the glob? I am a 100% Landlord both in Naija and 3 other countries abroad! I choose where to live and enjoy my life! Continue deceiving yourself! Still on #Psquare100CitiesWorldTour 🙃"
208,25-3-2023,"
Eluu P!👌🏾🤞🏾 Obidient child of God🙃☺️"
209,25-3-2023,"
We remain OBIdient 💯👌🏾 Eluu P ✊🏾🇳🇬"
210,22-3-2023,"
All PETERS are fearless! Now you know why! We don’t give up easily! We stubborn die😂🤣😂🤣🤣 We hit it harder!"
211,22-3-2023,"
No hope is lost here my dear! I didn’t japa or ran away! I am here  on our world tour! Although as a successful artiste well known, we are hardly in Nigeria!  Have faith! Nigeria will be great again! ✊🏾🇳🇬

WE WANT TO MAKE NATION BUILDING A PEOPLE'S MOVEMENT. Remain blessed dear🙏🏽"
212,21-3-2023,"
IF YOU DO WHAT YOU LOVE
AND YOU'RE GREAT AT WHAT
YOU DO, THE BAG WILL COME.👌🏾💰💰💰💰💰💰Just for the record! I always do what I love! ☺️"
213,20-3-2023,"
🤣😂🤣😂 ewu Nama! I understand your pain! Let me add more to it! Come on the 6th of May We are selling it out as usual🤣😂🤣 ODE🤣"
214,20-3-2023,"
Stay focused on your goals and stay true to your values - no matter what! Remember, the end doesn't always justify the means, so choose your path wisely!"
215,20-3-2023,"
The shocking thing is most of the people fanning the division online for political gains still live in poverty as a result of a failing state.Ironic! Stay focus most of them are in bondage. Embrace unity!"
216,20-3-2023,"
Even your so called politicians and there children all go for treatments and school in that same country that works! Be deceiving yourself! “They are not even in Nigeria?”
Election was postponed and you expect me to postponed our tour in a country that works?😂 Dis PDAPC people🤦🏽‍♂️"
217,19-3-2023,"
Election is over! While waiting for the authentic results! Am in a country “that works” learning that BIG LESSON I am taught!🤣😂🤣😂 We go dey alright las las!👌🏾😂🤣"
218,18-3-2023,"
With 
@inecnigeria
 It has now bcom a curse to be a Nigerian. We go dey alright las las!"
219,18-3-2023,"
Behold Prof. Mahmood Yakubu, The man who conducted the worst election in the history of Nigeria! Shame on him and the entire 
@inecnigeria
 👎🏾👎🏾👎🏾👎🏾"
220,18-3-2023,"
We do not have police in Nigeria! All we have is thugs with uniforms! SHAME ON THEM!👎🏾"
221,18-3-2023,"
Shame on The Nigerian Police! Una no get levels at all! Again! SHAME SHAME SHAME!!! 👎🏾"
222,,"
The Nigerian Police are the real Jokers! Shame on them! 👎🏾"
223,18-3-2023,"
Dear #Obidients it's time to show yourselves again in your various Polling Units. 
Go Prepared! We are the Structure!!! 
Ellu P!!!!!💙💙💙 LP LP LP LP all the way☝🏾
@NgLabour"
