S/N,Date,Tweet
53,20/04/24,No wahala sir. Me I don’t have the qualifications to rate your houses. 🙌🏾
54,20/04/24,Yeah I am great thanks a lot and you?
55,20/04/24,Boss man concentrate on selling your houses that you know how to do let me sell my artists. You don’t have to buy from me just as I don’t want to buy your houses. E no mean say you no go see customer. 
56,20/04/24,Yes sir. See him last single
57,20/04/24,Ahh una too plenty o. lol 🏃🏾‍♂️
58,18/04/24,Hook too fire 🔥 Love it. 🐘
59,18/04/24,Thanks for having us boss. 🙌🏾
60,12/04/24,I’m not a lyricist. What do I know. Everybody do the one wey you sabi. Share us some of your written Grammy lyrics
61,12/04/24,Him get young for him name no mean say him small o. I’m honored to be compared with him sef. You can’t deny he is a beast. 🐘
62,12/04/24,My lyrics no Dey hard na straight to the point. When you learn come back 😁
63,12/04/24,Undeniably one of the baddest producers we have had in the game and one of my fav artists at the moment called for the Don’s blessings on his album and I couldn’t resist. Go check out the new album from @YoungJonn  OUT NOW!!  🤍 🐘 
64,26/03/24,Congratulations bro. 🤍
65,23/03/24,Nope I’m not here. 🚶🏾
66,23/03/24,You are very welcome. I am happy for you. More blessings. 🙏🏽🤍🐘
67,13/03/24,The energy some of y’all spend arguing about other people’s business is unhealthy.  🤐 Minding my business. 
68,04/03/24,"Good morning. 
@koredebello
 and I made a beautiful new record it’s called #MindingMyBusiness "
69,29/02/24,London what’s good? 🤍🐘
70,19/02/24,"So super talented 
@adekunleGOLD
 came visiting the Don’s residence. I was over fed with loads of incoming songs. This one is called “The Life I Chose” and it’s OUT ON WEDNESDAY 21st of February. I love it and you will love it too."
71,16/02/24,Ahh he has my nose o
72,13/02/24,Glovo now has the juciest @jazzysburger 🤍🐘
73,09/02/24,Am I Gen Z if I understood all he said?
74,08/02/24,lol e never drop jor na for midnight
75,07/02/24,Osheeeeee Up Naija
76,05/02/24,Energy wrong I log off. 
77,28/01/24,Nice seeing you Doc 🤍🐘
78,14/01/24,Snap out of all that is bothering you tonight and say it with me “I’m Okay” - Magixx
79,08/12/23,Na who get belle fit give person belle. 😛
80,06/12/23,Na Man City come cut my ticket today. Hissss 🤦🏾‍♂️🚶🏾
81,04/12/23,Your mama
82,04/12/23,These big boys Dey spray money for air for club. Wetin concern me the one wey touch me I don pick one 500 naira put for my bra.
83,26/11/23,Thank GOD for life. 🎂 🐘+1
84,26/11/23,Wetin you Dey sell?
85,24/11/23,Looks yummy but e too full na. I don’t want crab and scorpion that one na war to chop.
86,24/11/23,Who want chop plantain
87,22/11/23,"Taking the road with my artists on tour has been a masterclass in understanding - not just the artists, but also the promoters and fans. Every record label exec should experience this; it’s a game-changer for insight and connection."
88,22/11/23,Ahh heartbreaks are mainly becos of broken promises tho. I didn’t promise you anything na 🤷🏾‍♂️🙆🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️
89,22/11/23,Yes sometimes it hurts
90,22/11/23,If your ex was only penis to you then you are good na. Moving on shouldn’t be a problem for you then
91,,"I don’t know if it’s narcissistic 🙈 but I like to think, in the sweetest way possible, that if you were to ever lose me, you might just be missing out on something special. 🤷🏾‍♂️🤍"
92,18/11/23,There are no surprise winners in the game. Show me a winner and I will show you the footprint. Get to work guys. 🐘
93,16/11/23,You know better music
94,08/11/23,Am I a Man U fan like this 🤦🏾‍♂️
95,02/11/23,Na GOD Dey run am. Thanks to all of you for the love and support always. 
96,29/10/23,Pounded yam and afang soup Dey crave me by 2.30am 😢
97,27/10/23,I no fit born person wey get bad belle for other people progress. Not possible. 
98,27/10/23,Thank GOD say you know o
99,27/10/23,It really cracked me up. Nice one bro 🙌🏾🙌🏾
100,19/10/23,Dollar Dey pump like coin. 🙆🏾‍♂️ To the mooooon 🌖 🏃🏾‍♂️
101,15/10/23,Lovely people. Malawi 🇲🇼 turn up tonight for the celestial being Ayra Starr 🤍 🐘
102,07/10/23,My Man U hehe
103,02/10/23,Osheee Kante and Godfather 🕺🏾
104,02/10/23,You never see anything. E shock me too.
105,11/09/23,My love language is #Spending. Retweet if your love language is receiving gifts. 😁
106,11/09/23,Na New York I wan go since o. Now I have found myself in Raleigh-Durham 🤦🏾‍♂️. One day we sef go be  @davido  🙌🏾. Private Jet is needed. Baba GOD run am 🙏🏽
107,10/09/23,Exactly na why I shock. They brought 2 receipts and they both paid with their personal cards.
108,10/09/23,Na Atlanta airport o.
109,10/09/23,Awwww I just witnessed a couple split the restaurant bill half half. My first time. The waiter asked should I split this down the middle?? The man answered yes.
110,10/09/23,They yaf canceled my flight from ATL to NY. 🙆🏾‍♂️🤦🏾‍♂️🥲
111,05/09/23,So if I say make you give me your girlfriend you no go give me?
112,05/09/23,If my head will fit on your phone.
113,05/09/23,I know your name already jor
114,05/09/23,How are you doing Eniola?
115,05/09/23,What’s your name my love ?
116,05/09/23,No I come check in my girlfriends wey no gree me marry
117,02/09/23,Bro you are still counting. 1 I don’t really like doing lives or spaces. 2 I have told you people that this days counting wey una Dey do na emotional blackmail sir. I no Dey do ooooo
118,02/09/23,Yes I hear. GOD is a jealous GOD. I was made in his image. 😛
119,02/09/23,And him go show you shege pro max
120,02/09/23,"That your spec wey make you no look my side, you no go get am. Amen 🙏🏽. 🚶🏾"
121,02/09/23,That your spec. You no go get am. Amen 🚶🏾
122,02/09/23,I went to look for trouble on TikTok 😁
123,02/09/23,lol whats your own verdict? leave oga first
124,30/08/23,lol whats your own verdict? leave oga first
125,30/08/23,One of them senior brother  just drop Gbedu now. This one is called #Spending by Johnny Drille 
126,29/08/23,"I believe in love, but I also believe in spending plenty money for the one I love. 😁💐🤍."
127,29/08/23,Out on the streets of Toronto repping my last born @lifesize_teddy_
128,27/08/23,Una go pursue me from the Stu
129,23/08/23,Una too Dey fight for here jor.
130,23/08/23,"Somebody will send me a Twitter link, I see http://x.com/ blah blah blah and my dirty mind will be thinking it’s porn. 🤦🏾‍♂️"
131,21/08/23,Johnny Drille’s next single. 😁
132,18/08/23,Scatter scatter no be disruptor. 🚶🏾
133,13/08/23,Ahhh Uriel is out of the house 🥲. This game is crazy now o. Anyways she will sha listen to @lifesize_teddy_  before the others. 🕷️ -
134,12/08/23,I Dey sell my bole ooo. Try am here 
135,12/08/23,Super proud. 🤍🐘
136,12/08/23,🥲🥲🥲 my Snapchat fucked me up. I’m Mavinboss there 🤦🏾‍♂️
137,12/08/23,Una no get joy for this Twitter 😂
138,12/08/23,Ahh make I find my dictionary first lol. 🙌🏾🙌🏾 Thanks 🤍🐘
139,12/08/23,"Humble beginnings of my artists are always very emotional for me. 
@lifesize_teddy_
 is so so good."
140,12/08/23,This Martinez keeper na fullll Ment lol 😂
141,12/08/23,Nope she is 23. 
142,12/08/23,Tell them celestial 👼
143,12/08/23,It’s hustle o clock anytime o. 
144,12/08/23,Hahah correct throwback. I remember going into the big brother house that year to make the beat and take their vocals. Good times. Love it. #BBNaija
145,10/08/23,Don’t sleep tonight without listening to the newest Mavin. Just press play and enjoy. 🕷️
146,10/08/23,Big brother Naija fights are always funny to me. Especially when they switch from speaking fune to pidgin. Osheeey street. 😂.
147,10/08/23,Watch the premiere for Hypnotic official video at 3pm WAT 🕷️
148,10/08/23,Out last night for King Baddo’s Unruly album listening party. 🤍🐘
149,10/08/23,No rush give reviews ooo. Turn on lyrics and listen multiple times till your battery 🪫 low like my own. 😁 🕷️
150,10/08/23,Hmmm breathe ooo lol 
151,10/08/23,"Good morning. Breakfast is ready. New Mavin alert. Listen to her debut Ep here make you no explain tire o. 🕷️

Retweet to your followers. 🤍🐘"
152,10/08/23,"She is also called #Elesteee , Lifesize, Teddy, LST all Join. Anyone wey sweet for your mouth boss. 🕷️"
153,10/08/23,Thanks for the kind words. New music out already. Enjoy - 
154,10/08/23,Lol she never even land finish. 
155,09/08/23,"Unveiling a new artist is a reminder of how an artist have let themselves go through the laid down process of the Mavin academy, the testament of our faith in them and the coming together of our hardwork. With the power vested in me by the Supreme Mavin Dynasty It’s my pleasure to introduce you to Mavin’s latest signee. Rapper, poet, singer and songwriter Lifesize Teddy. Pls follow and welcome  @lifesize_teddy_
"
156,,OSHEEEE BOLD TYPING DEY TWITTER NOW LOL
157,08/07/23,who go buy thread?
158,04/07/23,"With all the amazing love songs that @johnnydrille  has written, it’s only right that he bags one of the most amazing women I have met to share #Thebestpart of his life. I am so happy for both of you. May GOD continue to bless your union. Happy birthday again @rimouuune 🤍🐘"
159,28/06/23,Happy new month. May this month be better than the last. 🤍🐘
160,28/06/23,Na KFC wey I buy yesterday I Dey chop like this. As I never see better pepper chop for this #afronationportugal . Anybody wey get plug for this side hit me up Abeg. Also go and jam this new Gbedu. #Modupe by @crayonthis  OUT NOW!!! 
161,,She has broken 2 records then. Give it to her. 😁🤍🐘
162,14/06/23,Na Baba GOD Dey run am.
163,,Una like wahala. Let the cats breathe.
164,04/06/23,Ahh wahala full this Netflix fake profile
165,04/06/23,This is fire bro. Love it. 🙌🏽🙌🏽🙌🏽🤍
166,31/05/3,Do you know anybody that admits that he or she is a liar? 
167,31/05/23,Lol ki lo le to yen 😂
168,30/05/23,Lol you wan use your spit find money before?
169,30/05/23,Me sef wan Dey do boom boom boom lol
170,30/05/23,Abeg who go teach me how to become pro betting Kpunter Abi na tipster una Dey call am. ⚽️ 🏀 🎾 🤍🐘
171,27/05/23,Good morning. You don baff?
172,26/05/23,"The love was too real and overwhelming. In our own little way, jobs will be created. Families will smile. I am very happy we will all break bread together. Join the DRIP movement. 
@dripssoapafrica"
173,26/05/23,"Yesterday was a movie. I went with my men to visit my other super giant distro men at Lagos Trade Fair. All hands are on deck to make sure we get the DRIP to you anywhere. 
@dripssoapafrica"
174,26/05/23,"Coming thru with that DRIP ENERGY 😉. I never enter gear but shift Abeg. If your soap guy no get Drip, switch shop hehe. 🤍🐘"
175,24/05/23,I love this internet ehn lol. To think that I just dropped the audio as cruise on Instagram o. He took the audio and turned it into this Gbedu. Played it for me and I loved it hehe.  Watch the full version here.
176,24/05/23,Had so much fun. And the lady Blessing sang really well. 🙌🏽🙏🏾🤍
177,24/05/23,No vex Abeg. Pele 🤍🙌🏽🙏🏾
178,23/05/23,This Rema’s Charm official video is giving me joy. The boy too sabi Abeg 
179,22/05/23,Those days wey I be sinner. This kind rain like this na soft water water yansh just remain. 🚶🏼‍♂️
180,22/05/23,Congrats on every. More blessings 🙌🏽🙌🏽🤍🐘
181,19/05/23,Good Morning. Make sure you listen to King Coal today.
182,14/05/23,"He said it and he did it. All hail the boy who saw tomorrow. - Lorde 
@heisrema
 🦇"
183,14/05/23,Apparently landladies do the same too. Come onnnn it’s 2023. A lot of young girls are working really hard and doing well for themselves.
184,14/05/23,Don’t men have different guys and girls coming to find them too??? 🤷🏽‍♂️
185,14/05/23,Dear Lagos Landlords what did single women do to you people? Why is it hell for them to rent a place?
186,11/05/23,The best thing you will hear today.
187,11/05/23,No mind them o lol
188,11/05/23,"Meet the four variants of the Drip Soap namely Drip papaya ,Drip Vitamin C, Drip carrot and Drip Gold with their respective unique benefits formulated for your beauty needs. Now, you have the license to DRIP. Do your skin a favour, choose between any of our variants of the Drip Soap and glow effortlessly. Follow 
@dripsoapafrica"
189,10/05/23,"Shout out to 
@BoySpyce
 Happy birthday bro. 
New single #Relationship OUT NOW!!"
190,08/05/23,This one Dey every corner #DripSoap
191,08/05/23,"Yesterday my baby Mavin turned 11. Today is the beginning of another exciting journey for me. Allow me to introduce to you my new baby #Drip 😁💃🏻💃🏻💃🏻. For the past 18 months I have spent time with experts perfecting my first range of beauty soaps 
@DripSoapAfrica
 "
192,07/05/23,"Worked all night in the stu. So I Dey go sleep now. If I picked you, I will run the transfers when I wake up don’t panic Abeg. Love always. 🤍🐘"
193,07/05/23,So I have picked 20 people. Like I said this is for today. Another day it can be your turn. Thanks thanks thanks for always supporting even tho I know that some goody 2 shoes live on twitter to troll you for your tweets. 🤍🐘
194,07/05/23,Thanks. ✅🙌🏽🙌🏽 No. 20
195,07/05/23,Ahhhh for that Loya milk wey you add alone sef I will send you 500k. Thanks for being there. ✅ 🙌🏽🙌🏽🙌🏽 No. 19
196,07/05/23,Lol only your own go different. 😂
197,07/05/23,No bro thank you for the support o. When I come on here to say epp me do this and that. You don’t have to but u do and I truly appreciate. ✅ 🙌🏽🙌🏽 Winner No. 6
198,07/05/23,"You don try and I am grateful. I sha said 3 has to be brands I have worked with, not music but thanks still. Send your account details. 🙏🏾 "
199,07/05/23,This is an appreciation tweet 🙏🏾.  For today 20 people will get 100k each. Show me screenshots of 4 times that you have helped my hustle. 3 of the screenshots has to be tweets about a brand that I represented at some point. Love always 🤍🐘
200,04/05/23,Plenty correct husband materials will be at the cinema to watch #TheKujusAgain. Your Mr Right might there ooo.
201,04/05/23,"Dear ladies if he is toasting you and can’t take you to the cinema this weekend to watch #TheKujusAgain he is not the one ooo. #BelieveMe cc 
@itkmovie
 🤍🐘"
202,03/05/23,"My people my movie #TheKujusAgain is still showing in the cinemas. So pls make a date with a special someone this weekend. I promise you would have a great time. 
@itkmovie"
203,02/05/23,No o. I Dey sell my market. 
204,02/05/23,"Like always, 
@Johnnydrille
 and I will forever give you the best song in the world. #BelieveMe. Listen to this masterpiece and pls retweet to your followers for me. Thanks a lot"
205,01/05/23,Ahh I didn’t think well before posting this Rema’s Charm lyrics ooooo. Egbami 🙆🏾‍♂️
206,28/04/23,No wahala. I will send you 500k . I Dey go sleep. Before I finish my salary this night. GOD bless. 🤍🐘🚶🏼‍♂️
207,28/04/23,Once I see you begin count days I know say you don open office on top my head. May GOD provide for us sha. Amen 🙏🏾
208,28/04/23,All of you that tweet day 1 day 2 day 3 day 100 of asking don jazzy for this and that are emotional blackmailers sha. Just saying 🚶🏼‍♂️.
209,28/04/23,No thanks. I am purely virgin. And I won’t stop listening to Rave and Roses 🌹. You should keep listening too. 😉
210,28/04/23,Lol we no Dey deliver to PH jor. Only Lagos for now. 24hrs on the island @jazzysburger
211,28/04/23,Thanks for the kind words. I wish you well too 🤍🐘
212,28/04/23,I don Dey learn Hov lyrics. This Rema sef 😂🙌🏽.
213,28/04/23,To Dey shalaye dey hard sometimes. But you be the one sha 😁. It’s the end for me
214,28/04/23,Baddo and Ckay’s Trumpet is such a Jam. Love it 🤍🐘
215,28/04/23,Seen bro and I love it. Thanks a lot 🤍🐘
216,28/04/23,Friday we feast
217,26/04/23,Baddo and Ckay’s Trumpet is such a Jam. Love it 🤍🐘
218,26/04/23,Meanwhile on TikTok we Dey crase hehe 
219,26/04/23,I’m glad to see the team incorporated sign language. It's amazing to see inclusivity and accessibility in the arts.
220,26/04/23,I didn’t watch it before release actually.
221,26/04/23,I just finished watching the official video for #BelieveMe by @Johnnydrille  on YouTube 3 times. And I also read all 867 comments from lovers all across africa. Water nearly comot my eyes. 🤍🐘
222,25/04/23,Thanks a lot guys. Tell those that haven’t watched it to go see it in the cinema. GOD bless
223,21/04/23,No catch me o
224,21/04/23,We Dey chop for this side 😁
225,21/04/23,I no no who push me but I’m falling 😁😊
226,21/04/23,Watch introducing the Kujus on @primevideonaija  so you can enjoy #TheKujusAgain more in the cinema. Me sef I’m about to watch it again. 🤍
227,21/04/23,"Some coins Dey inside
Quote
PROPAGANDA
@ma"
228,21/04/23,No jor na Tesla I wan buy. Make I check my kolo.
229,21/04/23,Nope it was annoying me and I closed it myself
230,21/04/23,I missed it o. I was out the market. 😁
231,21/04/23,Lol me wey don buy since in the beginning was the world
232,21/04/23,My first movie #TheKujusAgain is out this weekend.  It’s a very fun family movie so you  can gather your family and enjoy it in the cinema. 21st April
233,19/04/23,I think I will actually.
234,19/04/23,Yep I scalp well. But I keep some trades long sha if the market is against me. That’s why you gotta make sure the margin level is healthy. I try not to make it get lower than 1000.
235,19/04/23,Lol you keep money for the market?? I go in there for anything blue bro. It’s simple really.
236,19/04/23,I also started trading in this account with 0.01 lot size but moved up as the account got bigger. I didn’t start doing 1.0 till I got to 20k
237,19/04/23,The account can take it now. You have to reduce the stacking sha.
238,19/04/23,Me and Gold are pretty much friends now.
239,19/04/23,Kai this #BelieveMe is too sweet Abeg. 
240,17/04/23,Super grateful 🙏🏾
241,17/04/23,Thanks. We appreciate una #BelieveMe 
242,16/04/23,Everywhere Gbedu 🔥🔥
243,16/04/23,I don’t know how you retweeted with your 2 accounts bro. I appreciate and I have sent u 200k for your 2 spots. 🤍🐘
244,16/04/23,I joined them with Barca na
245,16/04/23,I no share money again today o. Arsenal and Barca don cut tickets 🤦🏽‍♂️🙆🏾‍♂️🥲
246,16/04/23,Lol Oya pick 10 people to Join me and watch the movie in the cinema when it’s out.
247,16/04/23,Ok no wahala. The alert sounds different as the zeros increase. ✅🤍🐘
248,16/04/23,Done boss. ✅
249,16/04/23,You spotted that quick. Pls send your account details to take his.
250,16/04/23,Pls send account details. Thanks for your support always ooo. This our work no easy. We appreciate every epp
251,16/04/23,Haha boss @idiriza  is on that list too lol 🙌🏽🙌🏽🏃🏿‍♂️. Ahh boss I go give your 100k to somebody else o
252,16/04/23,These were the first people to retweet my last post. Y’all didn’t ask but Abeg allow me appreciate una with 100k each. Thanks
253,16/04/23,Make I add small manure and water for my streaming farm. Abeg use the link on my bio. Thanks.  #BelieveMe
254,15/04/23,Love you too thanks a lot. 🤍😘
255,15/04/23,Attention pls 📣 😁🤍🐘
256,15/04/23,That one too far. Top 20 no bad. #BelieveMe
257,15/04/23,I watched @burnaboy  display class at Coachella yesterday. 🙌🏽🙌🏽🤍🐘
258,14/04/23,Was on 17k profit yesterday now 22k. Gold don pay me small this week make I rest. What’s your fav pair to trade? 
259,14/04/23,Hit up my guy @eze_crypto  for those that want to learn how to trade the forex market. I learnt from him.
260,14/04/23,Mavin the music supplier. 🫡
261,14/04/23,You are now bribing me with my own lyrics. 🤦🏽‍♂️ .  It worked just this one time. I have sent you 300k. Goodluck 🤍🐘 
262,14/04/23,Ahh guys I’m grateful ooo. The support for #BelieveMe by @Johnnydrille has been amazing. Thank you so so much. Keep telling your stubborn friends that haven’t listened that the record is beautiful. Retweet for me
263,13/04/23,How many songs are in your Mavin Playlist now? 🤔
264,13/04/23,"I have sent again with another bank. If you get it 2 times, refund me ooo. 🙌🏽🙌🏽🤍🐘"
265,13/04/23,Stay there Dey play. My trading strategy is “Dont be a thief” .
266,13/04/23,Nathaniel Kudu way 🙌🏽🙌🏽
267,13/04/23,Funny enough I chop small.
268,13/04/23,It’s an honor bro. Like I always say you are a musical genius and it’s big flex to be on a song with you. 🙌🏽🙌🏽🤍🐘
269,13/04/23,Gold oooooo hehe lol 😂
270,13/04/23,Done. ✅ 250k sent. Goodluck with your biz. 🤍🐘 
271,13/04/23,The thing too sweet me.  🙌🏽🙌🏽🤍🐘
272,13/04/23,Ok ma. Account details pls.
273,13/04/23,I love that too 🤍
274,12/04/23,Awwwwww love is wonderful. #BelieveMe 
275,12/04/23,"I love alllll my artistes, and believe in them so much. This is not just business for me. I am also emotionally invested in this. This is the latest from 
@Johnnydrille
 he is a musical genius. You can also check his past works. #BelieveMe 
"
276,12/04/23,"Your twitter account is fake as you just opened it this April. Or maybe you don shit for church with your real account. Also no be by force to get shop in 2023. Online works. Look at my 
@jazzysburger
 🤷🏽‍♂️"
277,12/04/23,Team Apple Music how far na? We need epp o
278,12/04/23,Ahh I go baff naked if una do that one lol 
279,12/04/23,Osheeee team audiomack listeners . Thanks for 100k plays. We appreciate dieeee. #BelieveMe 
280,12/04/23,Now singing Dangote by Burna boy. Me wey Dey sell burger too. More to come. Stay there Dey play.
281,12/04/23,Haha na you do am Abi na AI ?
282,12/04/23,XAUUSD 😁
283,12/04/23,Not really about the competition for now bro. I hope the message educates and motivates my Ghanian brothers too. We can all do better. 🤍🐘
284,12/04/23,Thanks thanks e still Dey body 😁. 
285,11/04/23,We Dey try. You can also help by retweeting to your followers too. Thanks a lot. 
286,11/04/23,Lol ok I will tell the team thanks 
287,11/04/23,What do you think of the new @Johnnydrille  #BelieveMe record? No lie o
288,11/04/23,For your mind now you don ratio my tweet. Besides I didn’t tell anybody what to do. I asked a question. I even put ejor 🙏🏾.
289,11/04/23,Ok boss. I just sent you 1 Million Naira to assist with the project. GOD bless you. 🤍🐘
290,11/04/23,Can we go back to regular tweeting now guys ejor 🙏🏾?  I’m actually not doing a give away. Giveaways come with a pre announcement tweet. When I want to do all that you will know cos I will tell you guys prior. This one na one thing led to another 🤍🐘
291,11/04/23,Done bro ✅.  Wish you all the best. 🤍🐘
292,11/04/23,Ok bro. I will send you 250k. What’s your bank details? 
293,11/04/23,New JohnnyDrille music out now. #BelieveMe
294,10/04/23,Sorry to hear. I just sent 1 million Naira to the account on your bio. Hopefully that helps. 🤍🐘
295,10/04/23,Shameeeeee????? You never ready be that o
296,10/04/23,Ahh sorry I’m not in Abuja o.
297,10/04/23,I see the tweets. Ask them to show you how many artists they have made.
298,10/04/23,Some of us do give aways because we like giving and we want to give. If the masses don’t like your work e no go blow. Giveaway or no give away.
299,10/04/23,"If you have money for music video, pls shoot video. But you see this video right here, it’s free of charge but priceless. If you know you know. 🤍🐘"
300,10/04/23,Dear artists hope you can see how Davido is marketing his album. He didn’t form oh I’m OBO so everybody will cop my shit. Marketting your beautiful project that you worked hard on does not reduce your swag. 🤍🐘
301,10/04/23,JohnnyDrille coming thru with #BelieveMe
302,28/03/23,"Osheeee thank you for the kind words Constance with the voice 🙌🏽🙌🏽. I can’t wait for the world to hear you, fall in love with your voice/music and give you your flowers 💐.  🤍🐘"
303,28/03/23,You have a bright future ahead of you and I’m glad I have met you too. At least me sef can claim Day 1 when everything set. hehe. 🤍🐘
304,28/03/23,What are you thinking first? Before I tell you why
305,28/03/23,I dey try. we thank GOD
306,28/03/23,No vex. I know jare. i dey miss una too sha
307,28/03/23,Happy new week. 🤍🐘
308,24/03/23,I am super excited for you guys to watch me in a feem. Hehe 😁
309,24/03/23,"You have carried last if you haven’t heard 
@Iam_Magixx
 ‘s new Jamz ooo."
310,24/03/23,Davido’s Spotify Timeless Afro Playlist is dope. I produced 7 tracks on there.
311,24/03/23,Pre order link for Davido’s #Timeless
312,15/03/23,"Happy birthday to a true leader 
@Olamide
 . You inspire me. Thanks for being a blessing to the game. 👑🤍🐘"
313,09/03/23,Naaa not in recent times.
314,06/03/23,Do I have to watch Creed 1 and 2 to understand 3?
315,20/02/23,This one just fine anyhow. 
316,18/03/23,That new Ayra Starr Sability Video. 14
317,15/03/23,So much amazing music coming.
318,12/03/23,Hottest song out now. Don’t carry last. 😁🤍🐘 
319,28/08/24,Say no to violence. Why I go push Amina? Wetin she do me?
320,28/08/24,All of them
321,28/08/24,Keep praying for the bro TG. 🙏🏽🤍
322,28/08/24,2 odds first. Then I go use the win buy isiewu.
323,28/08/24,Wow that’s massive. Abeg help me beg am to commot the 2 zeroes just give me 3m back. I go appreciate die.
324,28/08/24,Nice meeting you bro. 🙌🏾🙌🏾
325,16/07/24,Are we still going for all time high on Gold? 👀
326,,Now I know
327,,Mavins in Paris 🇫🇷
328,29/06/24,ust show me where they wrote that drinking room temperature water is better for the body than ice water. Something as simple as that. 🤷🏾‍♂️
329,,"i dey work on myself. so that when my head correct, my babe go enjoy me."
330,,I be upcoming o. Stay there
331,09/02/23,The ability to master and control your Sabiness before e turn oversabi. - #Sability by @ayrastarr drops tonight 🔥 🐘
332,08/02/23,Thanks everyone. More goals ahead. We move 🤍🐘 #Sability
333,06/02/23,"Hear as song sweet na. Abeg share to your followers. #Folake by 
@BoySpyce
 OUT NOW❗️❗️❗️ "
334,,Good morning.
335,05/02/23,What’s the best Thai restaurant on the island guys? Abeg I Dey crave 🙏🏾
336,03/02/23,"My people, I have a new update for you this 2023. Come be an investor in music like me with MusicSplits on ARTSPLIT. Download the app by clicking on - http://artsplit.com/donjazzy and you might get a surprise from me."
337,,Guys epp me retweet to your followers o. #Folake by @BoySpyce  OUT NOW!!
338,25/01/23,They said Folake don pompous. Say she go do runs. Hmmm 🤐
339,20/01/23,Well now you know 😈
340,19/01/23,You should try it sometime. @jazzysburger 😉
341,28/12/22,"One Of Our Core Purposes Is To Create Jobs In Todays Economy For Young People , With Your Love & Support So Far We Are Winning & Now We Need More Hands On Deck So Please Feel Free To Apply For Any Of The Opportunities below.  CV’s Should Be Sent To Jobs@jazzysburger.com 🤍🐘"
342,26/12/22,Sweet burger for sweet girl. 🍔❤️
